total nodes	131073
total ways	21148
total relations	255
total users	287
avg tags per node	0.20859368443539097
avg tags per way	6.222716096084736
avg tags per relation	4.482352941176471
pct nodes not in way	0.023010078353284048
avg node version	2.2867486057387847
avg way version	2.9573009268016053
avg relation version	10.662745098039212
contribution thresholds	0.9,0.95,0.99
users	18,29,73
percentage	0.0627177700348432,0.10104529616724739,0.25435540069686413
data temperature	57.24615812019907
amt non-tiger ways	7845
pct non-tiger ways	0.37095706449782484
amt untouched tiger	384
pct untouched tiger	0.048948374760994263
avg increase over TIGER	3.620650095602294
poi nodes	2355
transport nodes	3966
named cnt	2269
age cohort thresholds	2592000,7776000,15552000,31536000,63072000
age cohorts	0.0,1.0,4.2,20.9,38.7,35.2
